ID,gender,race,ethnicity,age years,ages,genders,baths,lot,dishwash,cwasher,swim
1,F,W,N,1,3008030128..............................,FFMFM...............,2,-6,0,1,0
6,F,W,N,7,42421007................................,MFMF................,2,33000,1,1,0
8,F,A,N,42,4042150756421109........................,FMMMFFFM............,3,9000,0,1,0
10,F,W,N,38,384614..................................,FMF.................,3,18000,1,1,1
12,F,W,O,5,340503..................................,FFF.................,1,-6,0,0,0
13,F,W,N,33,33321310................................,FMMF................,2,88000,0,1,0
16,F,A,N,51,535119..................................,MFM.................,2,44000,0,1,0
18,F,W,N,48,485321..................................,FMF.................,2,88000,1,1,2
19,F,O,M,24,2401002825..............................,FFMMM...............,1,-6,1,0,0
22,F,W,N,30,30300401................................,MFFF................,2,88000,1,1,0
26,F,W,N,49,4949....................................,MF..................,2,-6,0,1,0
27,F,W,N,5,31330605................................,MFFF................,4,13000,1,1,0
28,F,W,N,13,53511613................................,MFMF................,2,-6,1,1,0
34,F,B,N,8,563736100808............................,FMMMFF..............,2,1050,1,1,0
36,F,B,N,30,30......................................,F...................,1,4800,1,1,0
37,F,O,O,19,434319191715............................,FMMFFF..............,1,-6,0,1,0
43,F,O,M,67,676845..................................,FFF.................,1,11000,1,1,0
46,F,W,N,56,4956....................................,MF..................,1,5500,1,1,0
49,F,W,O,55,575585..................................,MFF.................,3,7100,1,1,0
53,F,W,N,52,525210..................................,FMF.................,1,4000,1,1,1
54,F,W,N,62,6462....................................,MF..................,1,-6,1,1,2
56,F,B,N,16,594216211716070503......................,MFFMMMMMF...........,2,25520,1,1,2
60,F,W,N,44,7644....................................,FF..................,1,-6,1,1,0
61,F,W,N,9,4009....................................,FF..................,1,44000,0,1,0
64,F,W,N,44,441513..................................,FMM.................,2,440000,0,1,0
67,F,W,N,63,661963..................................,FFF.................,2,7500,0,1,0
72,F,W,N,15,385015..................................,MFF.................,2,41800,1,1,0
75,F,W,N,30,31303028................................,MMFM................,2,88000,0,1,0
76,F,W,N,57,57......................................,F...................,1,10000,0,1,0
77,F,W,M,59,6159....................................,MF..................,1,792000,0,1,0
78,F,O,N,8,4008....................................,FF..................,3,44000,0,1,0
80,F,A,N,46,464733..................................,FMF.................,2,-6,1,0,0
81,F,W,N,68,6968....................................,MF..................,2,44000,1,1,2
83,F,B,N,21,21000524................................,FMMM................,2,11500,0,1,0
86,F,B,N,23,2349....................................,FF..................,1,625,1,1,0
90,F,W,N,15,454415..................................,MFF.................,3,20000,1,1,1
91,F,W,N,3,32300503................................,MFFF................,3,11000,1,1,0
94,F,W,N,10,46501009................................,FMFM................,2,15528,1,1,0
95,F,B,N,7,36140742................................,FMFM................,1,5500,1,1,0
